_step,total_comm_count,epi_reward_agent-0,run_id,run_name
20063,253952.0,-934.2243785858154,yc5j624o,env_reset=40 aorpo alpha50
20142,258048.0,-934.2243785858154,yc5j624o,env_reset=40 aorpo alpha50
20244,258048.0,-890.7574405670166,yc5j624o,env_reset=40 aorpo alpha50
20323,261120.0,-890.7574405670166,yc5j624o,env_reset=40 aorpo alpha50
20425,261120.0,-925.2004928588867,yc5j624o,env_reset=40 aorpo alpha50
20504,265216.0,-925.2004928588867,yc5j624o,env_reset=40 aorpo alpha50
20606,265216.0,-865.057523727417,yc5j624o,env_reset=40 aorpo alpha50
20685,268288.0,-865.057523727417,yc5j624o,env_reset=40 aorpo alpha50
20787,268288.0,-865.750638961792,yc5j624o,env_reset=40 aorpo alpha50
20866,272384.0,-865.750638961792,yc5j624o,env_reset=40 aorpo alpha50
20968,272384.0,-838.7314414978027,yc5j624o,env_reset=40 aorpo alpha50
21047,276480.0,-838.7314414978027,yc5j624o,env_reset=40 aorpo alpha50
21149,276480.0,-907.4162425994873,yc5j624o,env_reset=40 aorpo alpha50
21228,280576.0,-907.4162425994873,yc5j624o,env_reset=40 aorpo alpha50
21330,280576.0,-912.5826015472412,yc5j624o,env_reset=40 aorpo alpha50
21409,283648.0,-912.5826015472412,yc5j624o,env_reset=40 aorpo alpha50
21511,283648.0,-842.4512548446655,yc5j624o,env_reset=40 aorpo alpha50
21590,287744.0,-842.4512548446655,yc5j624o,env_reset=40 aorpo alpha50
21692,287744.0,-874.8358211517334,yc5j624o,env_reset=40 aorpo alpha50
21771,291840.0,-874.8358211517334,yc5j624o,env_reset=40 aorpo alpha50
21873,291840.0,-842.6798934936523,yc5j624o,env_reset=40 aorpo alpha50
21952,295936.0,-842.6798934936523,yc5j624o,env_reset=40 aorpo alpha50
22054,295936.0,-858.3738784790039,yc5j624o,env_reset=40 aorpo alpha50
22133,300032.0,-858.3738784790039,yc5j624o,env_reset=40 aorpo alpha50
22235,300032.0,-876.1113891601562,yc5j624o,env_reset=40 aorpo alpha50
22314,303104.0,-876.1113891601562,yc5j624o,env_reset=40 aorpo alpha50
22416,303104.0,-819.634801864624,yc5j624o,env_reset=40 aorpo alpha50
22495,307200.0,-819.634801864624,yc5j624o,env_reset=40 aorpo alpha50
22597,307200.0,-846.279956817627,yc5j624o,env_reset=40 aorpo alpha50
22676,311296.0,-846.279956817627,yc5j624o,env_reset=40 aorpo alpha50
22778,311296.0,-857.4064083099365,yc5j624o,env_reset=40 aorpo alpha50
22857,315392.0,-857.4064083099365,yc5j624o,env_reset=40 aorpo alpha50
22959,315392.0,-865.0611457824707,yc5j624o,env_reset=40 aorpo alpha50
23038,318464.0,-865.0611457824707,yc5j624o,env_reset=40 aorpo alpha50
23140,318464.0,-905.4250450134277,yc5j624o,env_reset=40 aorpo alpha50
23219,321536.0,-905.4250450134277,yc5j624o,env_reset=40 aorpo alpha50
23321,321536.0,-843.7900581359863,yc5j624o,env_reset=40 aorpo alpha50
23400,324608.0,-843.7900581359863,yc5j624o,env_reset=40 aorpo alpha50
23502,324608.0,-829.20823097229,yc5j624o,env_reset=40 aorpo alpha50
23581,327680.0,-829.20823097229,yc5j624o,env_reset=40 aorpo alpha50
23683,327680.0,-792.4894199371338,yc5j624o,env_reset=40 aorpo alpha50
23762,330752.0,-792.4894199371338,yc5j624o,env_reset=40 aorpo alpha50
23864,330752.0,-737.8080635070801,yc5j624o,env_reset=40 aorpo alpha50
23943,334848.0,-737.8080635070801,yc5j624o,env_reset=40 aorpo alpha50
24045,334848.0,-772.0902824401855,yc5j624o,env_reset=40 aorpo alpha50
24124,337920.0,-772.0902824401855,yc5j624o,env_reset=40 aorpo alpha50
24226,337920.0,-794.9824695587158,yc5j624o,env_reset=40 aorpo alpha50
24305,340992.0,-794.9824695587158,yc5j624o,env_reset=40 aorpo alpha50
24407,340992.0,-870.6022911071777,yc5j624o,env_reset=40 aorpo alpha50
24486,344064.0,-870.6022911071777,yc5j624o,env_reset=40 aorpo alpha50
24588,344064.0,-863.5682983398438,yc5j624o,env_reset=40 aorpo alpha50
24667,348160.0,-863.5682983398438,yc5j624o,env_reset=40 aorpo alpha50
24769,348160.0,-726.8356952667236,yc5j624o,env_reset=40 aorpo alpha50
24848,351232.0,-726.8356952667236,yc5j624o,env_reset=40 aorpo alpha50
24950,351232.0,-825.5576610565186,yc5j624o,env_reset=40 aorpo alpha50
25029,354304.0,-825.5576610565186,yc5j624o,env_reset=40 aorpo alpha50
25131,354304.0,-850.2248249053955,yc5j624o,env_reset=40 aorpo alpha50
25210,357376.0,-850.2248249053955,yc5j624o,env_reset=40 aorpo alpha50
25312,357376.0,-829.4968376159668,yc5j624o,env_reset=40 aorpo alpha50
25391,360448.0,-829.4968376159668,yc5j624o,env_reset=40 aorpo alpha50
25493,360448.0,-852.6926918029785,yc5j624o,env_reset=40 aorpo alpha50
25572,364544.0,-852.6926918029785,yc5j624o,env_reset=40 aorpo alpha50
25674,364544.0,-774.5523624420166,yc5j624o,env_reset=40 aorpo alpha50
25753,367616.0,-774.5523624420166,yc5j624o,env_reset=40 aorpo alpha50
25855,367616.0,-900.3153285980225,yc5j624o,env_reset=40 aorpo alpha50
25934,371712.0,-900.3153285980225,yc5j624o,env_reset=40 aorpo alpha50
26036,371712.0,-802.6976318359375,yc5j624o,env_reset=40 aorpo alpha50
26115,374784.0,-802.6976318359375,yc5j624o,env_reset=40 aorpo alpha50
26217,374784.0,-901.3894596099854,yc5j624o,env_reset=40 aorpo alpha50
26296,377856.0,-901.3894596099854,yc5j624o,env_reset=40 aorpo alpha50
26398,377856.0,-829.683027267456,yc5j624o,env_reset=40 aorpo alpha50
26477,381952.0,-829.683027267456,yc5j624o,env_reset=40 aorpo alpha50
26579,381952.0,-815.6286029815674,yc5j624o,env_reset=40 aorpo alpha50
26658,386048.0,-815.6286029815674,yc5j624o,env_reset=40 aorpo alpha50
26760,386048.0,-804.0915565490723,yc5j624o,env_reset=40 aorpo alpha50
26839,389120.0,-804.0915565490723,yc5j624o,env_reset=40 aorpo alpha50
26941,389120.0,-779.0195980072021,yc5j624o,env_reset=40 aorpo alpha50
27020,392192.0,-779.0195980072021,yc5j624o,env_reset=40 aorpo alpha50
27122,392192.0,-861.1692218780518,yc5j624o,env_reset=40 aorpo alpha50
27201,395264.0,-861.1692218780518,yc5j624o,env_reset=40 aorpo alpha50
27303,395264.0,-826.7891387939453,yc5j624o,env_reset=40 aorpo alpha50
27382,399360.0,-826.7891387939453,yc5j624o,env_reset=40 aorpo alpha50
27484,399360.0,-775.7441177368164,yc5j624o,env_reset=40 aorpo alpha50
27563,403456.0,-775.7441177368164,yc5j624o,env_reset=40 aorpo alpha50
27665,403456.0,-754.1012516021729,yc5j624o,env_reset=40 aorpo alpha50
27744,407552.0,-754.1012516021729,yc5j624o,env_reset=40 aorpo alpha50
27846,407552.0,-753.3797302246094,yc5j624o,env_reset=40 aorpo alpha50
27925,410624.0,-753.3797302246094,yc5j624o,env_reset=40 aorpo alpha50
28027,410624.0,-733.6990814208984,yc5j624o,env_reset=40 aorpo alpha50
28106,414720.0,-733.6990814208984,yc5j624o,env_reset=40 aorpo alpha50
28208,414720.0,-808.2211570739746,yc5j624o,env_reset=40 aorpo alpha50
28287,418816.0,-808.2211570739746,yc5j624o,env_reset=40 aorpo alpha50
28389,418816.0,-799.0371360778809,yc5j624o,env_reset=40 aorpo alpha50
28468,422912.0,-799.0371360778809,yc5j624o,env_reset=40 aorpo alpha50
28570,422912.0,-718.8745336532593,yc5j624o,env_reset=40 aorpo alpha50
28649,427008.0,-718.8745336532593,yc5j624o,env_reset=40 aorpo alpha50
28751,427008.0,-819.589451789856,yc5j624o,env_reset=40 aorpo alpha50
28830,431104.0,-819.589451789856,yc5j624o,env_reset=40 aorpo alpha50
28932,431104.0,-788.2859630584717,yc5j624o,env_reset=40 aorpo alpha50
29011,435200.0,-788.2859630584717,yc5j624o,env_reset=40 aorpo alpha50
29113,435200.0,-769.4405879974365,yc5j624o,env_reset=40 aorpo alpha50
29192,439296.0,-769.4405879974365,yc5j624o,env_reset=40 aorpo alpha50
29294,439296.0,-707.4346389770508,yc5j624o,env_reset=40 aorpo alpha50
29373,442368.0,-707.4346389770508,yc5j624o,env_reset=40 aorpo alpha50
29475,442368.0,-824.1499423980713,yc5j624o,env_reset=40 aorpo alpha50
29554,445440.0,-824.1499423980713,yc5j624o,env_reset=40 aorpo alpha50
29656,445440.0,-889.9883098602295,yc5j624o,env_reset=40 aorpo alpha50
29735,449536.0,-889.9883098602295,yc5j624o,env_reset=40 aorpo alpha50
29837,449536.0,-963.969295501709,yc5j624o,env_reset=40 aorpo alpha50
29916,452608.0,-963.969295501709,yc5j624o,env_reset=40 aorpo alpha50
30018,452608.0,-775.5085182189941,yc5j624o,env_reset=40 aorpo alpha50
30097,455680.0,-775.5085182189941,yc5j624o,env_reset=40 aorpo alpha50
30199,455680.0,-733.1733417510986,yc5j624o,env_reset=40 aorpo alpha50
30278,458752.0,-733.1733417510986,yc5j624o,env_reset=40 aorpo alpha50
30380,458752.0,-765.3467617034912,yc5j624o,env_reset=40 aorpo alpha50
30459,462848.0,-765.3467617034912,yc5j624o,env_reset=40 aorpo alpha50
30561,462848.0,-765.0355653762817,yc5j624o,env_reset=40 aorpo alpha50
30640,466944.0,-765.0355653762817,yc5j624o,env_reset=40 aorpo alpha50
30742,466944.0,-708.3512001037598,yc5j624o,env_reset=40 aorpo alpha50
30821,471040.0,-708.3512001037598,yc5j624o,env_reset=40 aorpo alpha50
30923,471040.0,-801.6668472290039,yc5j624o,env_reset=40 aorpo alpha50
31002,475136.0,-801.6668472290039,yc5j624o,env_reset=40 aorpo alpha50
31104,475136.0,-729.3639678955078,yc5j624o,env_reset=40 aorpo alpha50
31183,479232.0,-729.3639678955078,yc5j624o,env_reset=40 aorpo alpha50
31285,479232.0,-776.9772663116455,yc5j624o,env_reset=40 aorpo alpha50
31364,482304.0,-776.9772663116455,yc5j624o,env_reset=40 aorpo alpha50
